City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
SAILU,6593.857674418606,5230.67,4145.59,3187.0,2904.4156626506024,1092.7440273037544,1190.857142857143
BASTAR (NP),6593.857674418606,5170.85,4133.97,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
NANDURBAR,6593.857674418606,4070.77,4124.63,3382.0597014925374,2904.4156626506024,1037.0,1190.857142857143
PANDARIYA,6593.857674418606,4690.32,4111.69,3382.0597014925374,2733.0,1092.7440273037544,1190.857142857143
BISHRAMPUR (NP),6593.857674418606,5757.88,4099.33,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
WARORA,6593.857674418606,4892.92,4092.58,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KOTBA (NP),6593.857674418606,3776.07,4081.38,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SURAJPUR (M),6593.857674418606,5155.67,4076.1,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
HINGOLI,6593.857674418606,5139.06,4071.45,3457.0,2792.0,1092.7440273037544,1190.857142857143
MALKAPUR_K,6593.857674418606,4985.13,4068.08,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
Bhatgaon (NP),6593.857674418606,3728.456822612087,4059.32,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
DHAMTARI (M),6593.857674418606,4494.38,4058.35,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KHOPOLI,6593.857674418606,4961.88,4057.95,3471.0,2904.4156626506024,1092.7440273037544,1190.857142857143
BHAVNAGAR,6593.857674418606,4936.87,4055.6,2921.0,2904.4156626506024,1515.0,1190.857142857143
HATHOD,6593.857674418606,4927.32,4048.16,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
Kharsia  (M),6593.857674418606,3728.456822612087,4045.97,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BHAGUR,6593.857674418606,4254.29,4040.74,3382.0597014925374,2771.0,1092.7440273037544,1190.857142857143
PANDATARAI (NP),6593.857674418606,4489.68,4040.69,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SAGAR,6593.857674418606,5699.23,4039.26,3284.0,2922.0,1603.0,1190.857142857143
BETUL,6593.857674418606,5107.18,4028.89,3382.0597014925374,2904.4156626506024,1313.0,1190.857142857143
SHAHADA,6593.857674418606,4722.58,4024.09,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BAGICHA (NP),6593.857674418606,4654.77,4017.29,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BARSUR (NP),6593.857674418606,4683.57,4011.02,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
JARHI (NP),6593.857674418606,4622.12,4008.95,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KORBA,6593.857674418606,5691.31,4004.25,3111.0,2989.0,1313.0,1190.857142857143
POMBHURNA,6593.857674418606,2830.56,4000.94,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BADE BACHELI (M),6593.857674418606,5203.32,3997.8,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
RAU,6593.857674418606,4395.52,3996.48,3315.0,2904.4156626506024,1092.7440273037544,1190.857142857143
CHIKHALAKASA (NP),6593.857674418606,4825.21,3990.33,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
URAN ISLAMPUR,6593.857674418606,4563.31,3985.64,3631.0,2931.0,1092.7440273037544,1190.857142857143
DANTEWADA (NP),6593.857674418606,4179.0,3983.24,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
ALIBAG,6593.857674418606,2874.93,3979.27,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KIRANDUL (M),6593.857674418606,4479.25,3978.3,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
JHABUA,6593.857674418606,4037.77,3971.56,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KHULDABAD,6593.857674418606,3628.79,3967.99,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
JAMUL (M),6593.857674418606,4289.55,3965.37,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
HINGANA,6593.857674418606,4696.03,3965.26,3222.0,2904.4156626506024,1092.7440273037544,1190.857142857143
TARSADI,6593.857674418606,4338.29,3963.36,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BHUSAWAL,6593.857674418606,4144.75,3962.2,3382.0597014925374,2722.0,345.0,1190.857142857143
SHIVPUR CHARCHA (M),6593.857674418606,4484.27,3956.28,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
UMRED,6593.857674418606,5131.29,3953.51,3272.0,2904.4156626506024,1092.7440273037544,1190.857142857143
KULGAON-BADLAPUR,6593.857674418606,5312.57,3891.98,3244.0,2904.4156626506024,1092.7440273037544,1190.857142857143
TUMKUR,6593.857674418606,2726.88,3863.66,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
Saharanpur,6593.857674418606,3728.456822612087,3855.29,2908.0,2904.4156626506024,894.0,1190.857142857143
MANDSAUR,6593.857674418606,5221.65,3844.64,3382.0597014925374,3103.0,1318.0,1190.857142857143
RAJAHMUNDRY,6593.857674418606,4212.56,3838.66,2867.0,2904.4156626506024,1456.0,1190.857142857143
SEONI_M,6593.857674418606,5213.68,3838.27,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
FIROZABAD (M.CORP.),6593.857674418606,4099.03,3819.57,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
UDAIPUR (M CL),6593.857674418606,3969.52,3814.36,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
UDGIR,6593.857674418606,3992.21,3811.73,3225.0,2904.4156626506024,910.0,1190.857142857143
PANCHKULA,6593.857674418606,4273.42,3783.01,3056.0,2904.4156626506024,968.0,1190.857142857143
ONGOLE,6593.857674418606,3158.75,3782.72,3382.0597014925374,2638.0,1322.0,1190.857142857143
KAKINADA,6593.857674418606,4120.25,3774.56,3382.0597014925374,2904.4156626506024,1464.0,1190.857142857143
WARDHA,6593.857674418606,4017.44,3765.85,3475.0,2873.0,760.0,1190.857142857143
NANDED WAGHALA,6593.857674418606,4516.03,3757.54,3141.0,2904.4156626506024,1010.0,1190.857142857143
SATARA,6593.857674418606,5713.61,3737.57,3361.0,2815.0,1090.0,1190.857142857143
GURGAON,6593.857674418606,5544.93,3733.97,2975.0,2904.4156626506024,1214.0,1194.0
BRAHMAPUR,6593.857674418606,4247.56,3718.55,3382.0597014925374,2904.4156626506024,1022.0,1190.857142857143
JALGAON,6593.857674418606,4286.83,3702.24,3034.0,2634.0,1083.0,1190.857142857143
SHIMLA,6593.857674418606,4798.12,3695.03,3382.0597014925374,2904.4156626506024,1438.0,1244.0
AKOLA,6593.857674418606,2684.45,3674.57,3382.0597014925374,2904.4156626506024,798.0,1190.857142857143
JALANDHAR CANTT.,6593.857674418606,3560.94,3670.03,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SOLAPUR,6593.857674418606,4255.17,3663.38,3206.0,2620.0,1213.0,1190.857142857143
HARDOI (NPP),6593.857674418606,3315.82,3650.59,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
ANAND,6593.857674418606,4071.4,3648.57,3382.0597014925374,2904.4156626506024,1225.0,1190.857142857143
DELHI CANTT.,6593.857674418606,4029.19,3647.64,3382.0597014925374,2904.4156626506024,1062.0,1190.857142857143
PARBHANI,6593.857674418606,4261.8,3646.17,3382.0597014925374,3007.0,924.0,1190.857142857143
Jodhpur,6593.857674418606,3728.456822612087,3615.33,3382.0597014925374,2904.4156626506024,970.0,971.0
